"Source:","C:\Users\AaronN\Desktop\Personal\PersonalProjects\YellCube\YellCube\YellCube.kicad_sch"
"Date:","4/16/2022 9:40:53 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py"
"Component Count:","90"
"Ref","Qnty","Value","Cmp name","Description","Manufacturer","Part Number"
"AE1, ","1","AMCA31-2R450G-S1F-T3","AMCA31-2R450G-S1F-T3","RF ANT 2.4GHZ CHIP SOLDER SMD","Personal","535-14095-1-ND"
"C1, C2, C3, C10, ","4","1uF","1uF","CAP CER 1UF 10V X5R 0402","Samsung Electro-Mechanics","1276-1076-1-ND"
"C4, C5, C6, C9, C13, C16, C22, C28, C35, C38, ","10","0.1uF","0.1uF","CAP CER 0.1UF 25V X5R 0402","Samsung Electro-Mechanics","1276-1043-1-ND"
"C11, C12, C33, C34, C39, ","5","4.7uF","4.7uF","CAP CER 4.7UF 16V X5R 0603","Samsung Electro-Mechanics","1276-1784-1-ND"
"C14, C15, C27, C29, C30, C31, C32, C36, C37, ","9","2.2uF","2.2uF","CAP CER 2.2UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1085-1-ND"
"C17, C18, C19, C20, C21, C23, C24, ","7","10uF","10uF","CAP CER 10UF 16V X5R 0805","Samsung Electro-Mechanics","1276-2893-1-ND"
"C25, C26, ","2","220pF","220pF","CAP CER 220PF 50V X7R 0402","YAGEO","311-1035-1-ND"
"CN1, ","1","B4B-PH-K-S(LF)(SN)","B4B-PH-K-S(LF)(SN)","JST PH CONN HEADER VERT 4POS 2MM","JST Sales America Inc.","455-1706-ND"
"CN2, ","1","B2B-PH-K-S(LF)(SN)","B2B-PH-K-S(LF)(SN)","JST PH CONN HEADER VERT 2POS 2MM","JST Sales America Inc.","455-1704-ND"
"CN3, ","1","S2B-PH-SM4-TB(LF)(SN)","S2B-PH-SM4-TB(LF)(SN)","JST PH R/A CONN HEADER SMD R/A 2POS 2MM","JST Sales America Inc.","455-1749-1-ND"
"CN4, ","1","2137160001","2137160001","CONN RCPT USB2.0 TYPE C 24POS RA","Personal","900-2137160001CT-ND"
"D1, D2, ","2","ESD7951ST5G","ESD7951ST5G","TVS DIODE 5VWM 12.9VC SOD923","onsemi","ESD7951ST5GOSCT-ND"
"FB1, FB2, ","2","BLM15PX601SN1D","BLM15PX601SN1D","FERRITE BEAD 600 OHM 0402 1LN","Murata Electronics","490-9657-1-ND"
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","Mounting Hole without connection","",""
"Q1, Q2, ","2","MMBT3904","MMBT3904","JLCPCB 0.2W 0.2A NPN 40V SOT-23(SOT-23-3) Bipolar Transistors - BJT ROHS","Changjiang Electronics Tech (CJ)","C20526"
"Q3, Q4, ","2","BSS138W-7-F","BSS138W-7-F","50V Vds, 0.2A Id, N-Channel MOSFET, SOT-323","Personal","BSS138W-FDICT-ND"
"R1, R2, R5, R12, R13, R14, R17, ","7","0","0","RES 0 OHM JUMPER 1/16W 0402","Stackpole Electronics Inc","RMCF0402ZT0R00CT-ND"
"R3, R8, R9, R10, R11, R15, R16, R18, R19, R20, R23, R25, R26, R31, ","14","10k","10k","RES 10K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT10K0CT-ND"
"R4, R28, ","2","4.7k","4.7k","RES 4.7K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT4K70CT-ND"
"R6, R7, ","2","33","33","RES 33 OHM 1% 1/16W 0402","YAGEO","311-33.0LRCT-ND"
"R21, ","1","680k","680k","RES 680K OHM 1% 1/10W 0603","Stackpole Electronics Inc","RMCF0603FT680KCT-ND"
"R22, R24, ","2","100k","100k","RES SMD 100 KOHM 1% 1/16W 0402","Delta Electronics/Cyntec","2037-PFR05S-104-FNHCT-ND"
"R27, ","1","3.09k","3.09k","RES 3.09K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT3K09CT-ND"
"R29, R30, ","2","5.1k","5.1k","RES 5.1K OHM 1% 1/16W 0402","YAGEO","311-5.10KLRCT-ND"
"U1, ","1","ESP32-PICO-D4","ESP32-PICO-D4","","Personal","1904-1029-1-ND"
"U2, ","1","MAX98357AETE+T","MAX98357AETE+T","JLCPCB IC AMP CLASS D MONO 3.2W 16TQFN","Analog Devices Inc./Maxim Integrated","MAX98357AETE+TCT-ND"
"U3, ","1","BQ24232HARGTR","BQ24232HARGTR","IC BATT CHG LI-ION 1CELL 16QFN","Texas Instruments","296-49554-1-ND"
"U4, ","1","MCP1725T-3302E/MC","MCP1725T-3302E{slash}MC","IC REG LINEAR 3.3V 500MA 8DFN","Microchip Technology","MCP1725T-3302E/MCCT-ND"
"U5, ","1","CP2102-GMR","CP2102-GMR","JLCPCB IC USB-TO-UART BRIDGE 28VQFN","Personal","IC USB-TO-UART BRIDGE 28VQFN"
